"neighbortype","time.daysperweek","access","Freq"
"1","Larger city or urban center (e.g., Syracuse, NYC)","0","1",0
"2","Rural area","0","1",0
"3","Small town or village (e.g., Trumansburg, Lansing)","0","1",0
"4","Smaller city or urban center (e.g. Ithaca, Elmira)","0","1",0
"5","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","0","1",0
"6","Larger city or urban center (e.g., Syracuse, NYC)","1","1",0
"7","Rural area","1","1",1
"8","Small town or village (e.g., Trumansburg, Lansing)","1","1",1
"9","Smaller city or urban center (e.g. Ithaca, Elmira)","1","1",2
"10","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","1","1",1
"11","Larger city or urban center (e.g., Syracuse, NYC)","2","1",1
"12","Rural area","2","1",0
"13","Small town or village (e.g., Trumansburg, Lansing)","2","1",2
"14","Smaller city or urban center (e.g. Ithaca, Elmira)","2","1",0
"15","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","2","1",0
"16","Larger city or urban center (e.g., Syracuse, NYC)","3","1",0
"17","Rural area","3","1",0
"18","Small town or village (e.g., Trumansburg, Lansing)","3","1",0
"19","Smaller city or urban center (e.g. Ithaca, Elmira)","3","1",0
"20","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","3","1",0
"21","Larger city or urban center (e.g., Syracuse, NYC)","4","1",0
"22","Rural area","4","1",2
"23","Small town or village (e.g., Trumansburg, Lansing)","4","1",0
"24","Smaller city or urban center (e.g. Ithaca, Elmira)","4","1",0
"25","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","4","1",0
"26","Larger city or urban center (e.g., Syracuse, NYC)","0","2",1
"27","Rural area","0","2",0
"28","Small town or village (e.g., Trumansburg, Lansing)","0","2",0
"29","Smaller city or urban center (e.g. Ithaca, Elmira)","0","2",1
"30","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","0","2",0
"31","Larger city or urban center (e.g., Syracuse, NYC)","1","2",0
"32","Rural area","1","2",2
"33","Small town or village (e.g., Trumansburg, Lansing)","1","2",3
"34","Smaller city or urban center (e.g. Ithaca, Elmira)","1","2",2
"35","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","1","2",3
"36","Larger city or urban center (e.g., Syracuse, NYC)","2","2",0
"37","Rural area","2","2",7
"38","Small town or village (e.g., Trumansburg, Lansing)","2","2",3
"39","Smaller city or urban center (e.g. Ithaca, Elmira)","2","2",6
"40","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","2","2",5
