StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1.2,Q2.3_1,Q2.3_2,Q2.3_5,Q2.3_7,Q2.3_8,Q2.3_9,Q2.3_10,Q2.3_11,Q2.3_13,Q2.3_14,Q2.3_13_TEXT,Q2.4#1_1_1,Q2.4#1_1_2,Q2.4#1_2_1,Q2.4#1_2_2,Q2.4#1_3_1,Q2.4#1_3_2,Q2.4#1_4_1,Q2.4#1_4_2,Q2.4#1_5_1,Q2.4#1_5_2,Q2.4#1_6_1,Q2.4#1_6_2,Q2.4#1_7_1,Q2.4#1_7_2,Q2.4#1_8_1,Q2.4#1_8_2,Q2.4#1_9_1,Q2.4#1_9_2,Q2.4#1_9_TEXT,Q2.4#1_10_1,Q2.4#1_10_2,Q2.5,Q2.6,Q2.7,Q2.8,Q2.9,Q2.10,Q2.11,Q3.2_1_1,Q3.2_1_2,Q3.2_2_1,Q3.2_2_2,Q3.2_3_1,Q3.2_3_2,Q3.2_4_1,Q3.2_4_2,Q3.2_5_1,Q3.2_5_2,Q3.2_5_TEXT,Q3.2_6_1,Q3.2_6_2,Q3.3_1_1,Q3.3_1_2,Q3.3_2_1,Q3.3_2_2,Q3.3_3_1,Q3.3_3_2,Q3.3_4_1,Q3.3_4_2,Q3.3_5_1,Q3.3_5_2,Q3.3_5_TEXT,Q4.2_1_1,Q4.2_1_2,Q4.2_2_1,Q4.2_2_2,Q4.2_3_1,Q4.2_3_2,Q4.2_4_1,Q4.2_4_2,Q4.2_5_1,Q4.2_5_2,Q4.2_6_1,Q4.2_6_2,Q4.2_7_1,Q4.2_7_2,Q4.2_7_TEXT,Q4.3_1,Q4.3_2,Q4.3_3,Q4.3_4,Q4.3_5,Q4.4_1,Q4.4_2,Q4.4_3,Q4.5_3,Q4.5_4,Q4.5_7,Q4.5_8,Q4.5_9,Q4.5_1,Q4.5_10,Q4.5_9_TEXT,Q5.2,Q5.3,Q5.3_6_TEXT,Q5.4,Q5.5,Q5.6_1,Q5.6_2,Q5.6_3,Q5.6_4,Q5.6_5,Q5.6_6,Q5.6_5_TEXT,Q5.7_1,Q5.7_2,Q5.7_3,Q5.7_4,Q5.7_9,Q5.7_10,Q5.7_11,Q5.7_12,Q5.7_11_TEXT,Q5.8,Q5.9,Q5.10,Q5.10_1_TEXT,Q6.2_10,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q6.2_5,Q6.2_6,Q6.2_7,Q6.2_8,Q6.2_9,Q6.2_9_TEXT,Q6.3,Q6.4_1,Q6.4_2,Q6.4_3,Q6.4_5,Q6.4_6,Q6.4_7,Q6.4_9,Q6.4_10,Q6.4_11,Q6.4_11_TEXT,Q6.5_1,Q6.5_2,Q6.5_3,Q6.5_4,Q6.5_5,Q7.2,Q7.3,Q7.4_2,Q7.4_3,Q7.4_4,Q7.4_5,Q7.4_6,Q7.4_7,Q7.4_1,Q7.4_1_TEXT,Q7.5,Q7.5_3_TEXT,Q7.6,Q7.7,Q7.8_1,Q7.8_2,Q7.8_3,Q7.8_4,Q7.8_5,Q7.8_6,Q7.8_7,Q7.8_8,Q7.8_7_TEXT,Q7.9,Q7.10
11/19/2020 10:18,11/19/2020 10:19,Survey Preview,100,69,TRUE,11/19/2020 10:19,R_33pADnLbayiHGaU,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/2020 20:22,11/19/2020 20:41,IP Address,100,1126,TRUE,11/19/2020 20:41,R_2cBJeDvqwj2VvND,anonymous,EN,0.7,"Yes, Let's Go!",,,"Public park, garden or orchard",,,,,,,,,,,Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),Typically used or visited BEFORE COVID-19 emerged,,,,,,,7 days,31min - 1hr,More time,More time,I was more careful to make sure I got outside as part of a self care effort,About the same time,,,During COVID-19,Before COVID-19,During COVID-19,Before COVID-19,During COVID-19,,,,,,,,Before COVID-19,During COVID-19,,During COVID-19,,During COVID-19,Before COVID-19,During COVID-19,,,,During COVID-19,Before COVID-19,During COVID-19,Before COVID-19,During COVID-19,Before COVID-19,During COVID-19,Before COVID-19,During COVID-19,Before COVID-19,During COVID-19,Before COVID-19,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Definitely,Definitely,Definitely,I don’t have enough time,,,,,,,,1 day,I worked primarily at home with occasional visits to campus,,More time,More time,eat lunch / take coffee break outdoors,"take a walk, stroll or hike",,,,,,,I don't have enough time,,,,,,,,Definitely,Probably can't be changed because the intensity of my job is the problem,Yes (what new activities),longer regular walks,I currently live by myself,,,,,,,,,,,Occasionally,,"Walking, hiking","Running, biking, rockclimbing","Kayaking, canoeing, boating, SUP, swimming",,,,,,,N/A or I don't know,N/A or I don't know,Somewhat agree,Strongly disagree,Strongly disagree,Female,More than 5 but less than 10 years,Full-time,,,,,,,,Salaried (Exempt),,,"Smaller city or urban center (e.g. Ithaca, Elmira)",,,,,,White,,,,No thanks!,No thanks!
11/23/2020 8:37,11/23/2020 8:43,IP Address,100,403,TRUE,11/23/2020 8:43,R_O430G1x6z6ppHwZ,anonymous,EN,0.9,"Yes, Let's Go!",Private or shared yard,"Deck, balcony or patio","Public park, garden or orchard","Botanical garden, arboretum or nature center",Nature / hiking trail,,,,,,,Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),,,,,Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),,,,,Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),,,,,,4-6 days,31min - 1hr,About the same time,About the same time,,More time,covid,Before COVID-19,,Before COVID-19,,Before COVID-19,,,During COVID-19,,During COVID-19,,,During COVID-19,Before COVID-19,During COVID-19,Before COVID-19,During COVID-19,Before COVID-19,,,During COVID-19,,During COVID-19,,During COVID-19,,During COVID-19,,,Before COVID-19,,Before COVID-19,,Before COVID-19,,Before COVID-19,,Before COVID-19,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Definitely,Definitely,Definitely,I don’t have enough time,I don't have easy access to nature,Nearby outdoor/natural spaces feel unsafe or unwelcoming,I have no one to go with; engage in outdoor activities with,Other barriers (please specify):,I am not interested in spending time outdoors in nature,Nothing / little prevents or limits me,,2-3 days,I worked primarily at home with occasional visits to campus,,About the same,About the same time,eat lunch / take coffee break outdoors,"take a walk, stroll or hike",,,,,,,I don't have enough time,I am discouraged from leaving my building during breaks,There are no natural/green spaces nearby / easily accessible,Nearby natural/green spaces are unappealing or of low quality,,Other barriers (please specify): ,,,Somewhat,,No,,,,Children – elementary school age,,Youth – high school age,Partner/spouse,,,,,,Frequently,,,,,,"Relaxing, reading, picnicking",Camping,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Female,More than 2 but less than 5 years,Full-time,,,,,,,,Hourly (Non-Exempt),,Never or rarely,"Small town or village (e.g., Trumansburg, Lansing)",,,,,Native Hawaiian and Pacific Islander,,,,,No thanks!,No thanks!
11/23/2020 9:18,11/23/2020 9:24,IP Address,100,373,TRUE,11/23/2020 9:24,R_2EEwA7ER4F9ECmM,anonymous,EN,0.9,"Yes, Let's Go!",Private or shared yard,,,,Nature / hiking trail,Woodland or conservation area,,"Lake, pond or beach",,,,Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),,,,,,,Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),,Used or visited SINCE COVID-19 emerged (March 2020 - present),,,Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),,,,,,4-6 days,15-30 min,Less time,More time,No thesis,More time,"pokemon go, walking to school",Before COVID-19,,Before COVID-19,During COVID-19,Before COVID-19,,Before COVID-19,During COVID-19,,,,,,Before COVID-19,During COVID-19,Before COVID-19,During COVID-19,Before COVID-19,During COVID-19,Before COVID-19,,,,,During COVID-19,Before COVID-19,During COVID-19,Before COVID-19,During COVID-19,Before COVID-19,During COVID-19,,,,During COVID-19,,,,,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Definitely,Definitely,Definitely,I don’t have enough time,,,I have no one to go with; engage in outdoor activities with,,,,,4-5 days,I worked primarily at home with occasional visits to campus,,Less time,Less time,,"take a walk, stroll or hike",,rest / relax / read,,,,,I don't have enough time,,,,,Other barriers (please specify): ,,no friends on campus,Definitely,Friends!,No,,,,,,,Partner/spouse,,,,,,Frequently,,"Walking, hiking",,,"Gardening, birdwatching, fruit-picking","Relaxing, reading, picnicking",Camping,,,,N/A or I don't know,N/A or I don't know,Strongly agree,Somewhat disagree,N/A or I don't know,Female,More than 2 but less than 5 years,Full-time,,,,,,,,Salaried (Exempt),,Never or rarely,"Smaller city or urban center (e.g. Ithaca, Elmira)",,,,,,White,,,,"If yes, please click here and enter your Cornell email address. This will be recorded in a google Form, separate from this survey so your survey responses will remain anonymous.","If yes, click here to enter your Cornell email address so we may contact you later. This will be recorded in a google Form, separate from this survey (and from the gift card draw form) so your survey responses will remain anonymous."
11/19/2020 20:06,11/23/2020 9:34,IP Address,100,307688,TRUE,11/23/2020 9:34,R_3PIhca2GvvvKxOe,anonymous,EN,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prefer not to respond,More than 2 but less than 5 years,,,,,,Seasonal,,,,,,,,,,,,,,,,,
11/23/2020 9:35,11/23/2020 9:35,Survey Preview,100,6,TRUE,11/23/2020 9:35,R_SCxG1rB4dsuMaWt,preview,EN,0.9,No thank you!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2020 9:35,11/23/2020 9:40,Survey Preview,100,277,TRUE,11/23/2020 9:40,R_3OoTmC7sTJbl1wy,preview,EN,0.9,"Yes, Let's Go!",,,"Public park, garden or orchard","Botanical garden, arboretum or nature center",,,"River, stream, canal or waterfall",,,,,Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),,Used or visited SINCE COVID-19 emerged (March 2020 - present),,,Typically used or visited BEFORE COVID-19 emerged,,Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),,,,,,,,,,,,2-3 days,31min - 1hr,More time,More time,,Less time,,,,,,,,,,,,,,,,During COVID-19,Before COVID-19,,Before COVID-19,,Before COVID-19,,,,,During COVID-19,,During COVID-19,,,Before COVID-19,,Before COVID-19,,,During COVID-19,,,,,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat,Somewhat,Not at all,,I don't have easy access to nature,Nearby outdoor/natural spaces feel unsafe or unwelcoming,,,,,,2-3 days,Other (please specify):,sdfd,More time,Less time,,"take a walk, stroll or hike",gather or meet with friends / workmates,,,,,,I don't have enough time,I am discouraged from leaving my building during breaks,,,,,,,Somewhat,,Yes (what new activities),sdfd,I currently live by myself,,,,,,,,,,,Occasionally,,"Walking, hiking","Running, biking, rockclimbing",,,,,,,,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Other,More than 5 but less than 10 years,Full-time,,,,Temporary / Casual,,,,Hourly (Non-Exempt),,Some of the time,"Small town or village (e.g., Trumansburg, Lansing)",,Hispanic or Latina/o,,,Native Hawaiian and Pacific Islander,,,,,"If yes, please click here and enter your Cornell email address. This will be recorded in a google Form, separate from this survey so your survey responses will remain anonymous.","If yes, click here to enter your Cornell email address so we may contact you later. This will be recorded in a google Form, separate from this survey (and from the gift card draw form) so your survey responses will remain anonymous."
11/23/2020 11:55,11/23/2020 12:08,IP Address,100,773,TRUE,11/23/2020 12:08,R_p5zw5WlLUP6s5nH,anonymous,EN,0.9,"Yes, Let's Go!",Private or shared yard,"Deck, balcony or patio","Public park, garden or orchard",,Nature / hiking trail,,"River, stream, canal or waterfall",,Other (please specify):,,TEST OTHER,Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),,,Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),,,Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),,,Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),TEST OTHER,,,7 days,15-30 min,More time,More time,Time spent on campus,More time,Time spent on campus,Before COVID-19,,Before COVID-19,During COVID-19,,,,During COVID-19,Before COVID-19,During COVID-19,TEST OTHER,,,Before COVID-19,During COVID-19,Before COVID-19,During COVID-19,Before COVID-19,During COVID-19,Before COVID-19,,Before COVID-19,During COVID-19,TEST OTHER,During COVID-19,Before COVID-19,During COVID-19,Before COVID-19,During COVID-19,Before COVID-19,During COVID-19,Before COVID-19,During COVID-19,,During COVID-19,,During COVID-19,Before COVID-19,TEST OTHER,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Definitely,Definitely,Definitely,I don’t have enough time,,,I have no one to go with; engage in outdoor activities with,Other barriers (please specify):,,,TEST OTHER,4-5 days,Other (please specify):,TEST OTHER,Less time,Less time,eat lunch / take coffee break outdoors,"take a walk, stroll or hike",gather or meet with friends / workmates,rest / relax / read,other (please specify):,,TEST OTHER,,I don't have enough time,,There are no natural/green spaces nearby / easily accessible,Nearby natural/green spaces are unappealing or of low quality,"Not enough protection from weather (like sun, wind, rain, etc)",Other barriers (please specify): ,,TEST OTHER,Definitely,More outdoor work spaces,Yes (what new activities),TEST FILL IN,,,,,,Partner/spouse,,,,Other (please specify),PET,Occasionally,,"Walking, hiking",,"Kayaking, canoeing, boating, SUP, swimming",,"Relaxing, reading, picnicking",Camping,,Other family rituals / traditions outdoors in nature:,TEST OTHER,N/A or I don't know,N/A or I don't know,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Female,Less than 2 years,,Part-time,,,,,Other (please specify):,TEST OTHER,Other (please specify):,TEST OTHER,Never or rarely,"Smaller city or urban center (e.g. Ithaca, Elmira)",,,,,,White,Other (please specify):,,TEST OTHER,"If yes, please click here and enter your Cornell email address. This will be recorded in a google Form, separate from this survey so your survey responses will remain anonymous.","If yes, click here to enter your Cornell email address so we may contact you later. This will be recorded in a google Form, separate from this survey (and from the gift card draw form) so your survey responses will remain anonymous."
11/23/2020 12:08,11/23/2020 12:09,IP Address,100,52,TRUE,11/23/2020 12:09,R_2y3MNl35o7WyFIe,anonymous,EN,0.9,"Yes, Let's Go!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2020 11:23,11/25/2020 11:31,IP Address,100,469,TRUE,11/25/2020 11:31,R_3GfBfRoVjw4TOxg,anonymous,EN,0.9,"Yes, Let's Go!",Private or shared yard,"Deck, balcony or patio",,,,,,,,,,Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),Typically used or visited BEFORE COVID-19 emerged,Used or visited SINCE COVID-19 emerged (March 2020 - present),,,,,,2-3 days,31min - 1hr,More time,More time,,Less time,,Before COVID-19,,Before COVID-19,During COVID-19,Before COVID-19,,Before COVID-19,During COVID-19,,,,,,Before COVID-19,During COVID-19,Before COVID-19,During COVID-19,Before COVID-19,,Before COVID-19,,,,,During COVID-19,Before COVID-19,During COVID-19,Before COVID-19,During COVID-19,Before COVID-19,During COVID-19,Before COVID-19,During COVID-19,,During COVID-19,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Definitely,Definitely,Definitely,I don’t have enough time,,,I have no one to go with; engage in outdoor activities with,Other barriers (please specify):,,,it is hard to step away from work to take a break to be outside,4-5 days,I have been working from home the whole time; I have not been on campus,,Less time,,eat lunch / take coffee break outdoors,"take a walk, stroll or hike",gather or meet with friends / workmates,rest / relax / read,,,,,I don't have enough time,I am discouraged from leaving my building during breaks,,,"Not enough protection from weather (like sun, wind, rain, etc)",,,,Definitely,,Yes (what new activities),,,Children – daycare/pre-school age ,,,,,,,,,,Very frequently,,"Walking, hiking",,"Kayaking, canoeing, boating, SUP, swimming","Gardening, birdwatching, fruit-picking",,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Female,Less than 2 years,Full-time,,,,,,,,Salaried (Exempt),,Never or rarely,"Smaller city or urban center (e.g. Ithaca, Elmira)",,,,,,White,,,,"If yes, please click here and enter your Cornell email address. This will be recorded in a google Form, separate from this survey so your survey responses will remain anonymous.",
